depth,grade,ndvi,soil_moisture,temperature,rainfall,downtime,blasting_delay,target_production,actual_production
100,32,0.25,40,30,20,2,1,10000,9500
120,35,0.30,45,31,25,1,0,10000,9700
150,42,0.22,50,29,30,3,1,11000,9800
180,48,0.18,55,28,40,4,2,11000,9200
200,52,0.15,60,27,50,5,2,12000,9000
220,55,0.12,65,26,60,6,3,12000,8500
250,60,0.10,70,25,70,7,3,13000,8300
280,63,0.08,75,24,80,8,4,13000,8000
300,67,0.06,78,23,90,9,4,14000,7800
320,70,0.05,80,22,100,10,5,14000,7500
130,38,0.28,42,30,22,2,0,10000,9600
160,45,0.20,52,29,35,3,1,11000,9500
190,50,0.17,58,28,45,4,1,12000,9400
230,58,0.11,68,26,65,6,2,13000,8800
270,65,0.07,73,25,75,7,3,14000,8200
